product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD_000137,garden,36,964,4,29910,53,43,68
PROD_000138,music,55,974,2,7330,50,23,74
PROD_000139,food,65,311,3,16221,21,43,33
PROD_000140,fashion,38,684,4,15566,82,10,42
PROD_000141,books,35,827,5,13638,91,29,46
PROD_000142,garden,35,931,2,851,36,10,73
PROD_000143,office,28,936,6,13458,64,28,28
PROD_000144,health,53,245,3,12972,78,26,43
PROD_000145,music,57,270,6,16420,95,13,47
PROD_000146,electronics,22,930,1,22683,96,47,28
PROD_000147,electronics,54,500,6,1726,21,24,58
PROD_000148,health,21,427,1,19407,13,40,53
PROD_000149,beauty,33,943,2,16336,24,30,35
PROD_000150,office,23,1000,6,22908,35,20,50
PROD_000151,computers,46,965,6,29904,37,29,35
PROD_000152,health,20,191,1,1963,14,42,16
PROD_000153,food,58,702,2,2261,80,33,76
PROD_000154,fashion,66,103,3,28071,78,7,32
PROD_000155,food,61,336,3,23005,45,9,52
PROD_000156,food,58,874,2,20579,97,8,39
PROD_000157,electronics,36,823,2,20853,66,31,64
PROD_000158,fashion,35,888,4,13007,31,39,13
PROD_000159,food,70,930,1,4698,27,48,64
PROD_000160,food,24,457,5,10031,68,49,42
PROD_000161,health,49,967,1,28667,54,50,38
PROD_000162,fashion,25,137,3,22411,80,18,41
PROD_000163,electronics,59,543,4,6745,87,33,74
PROD_000164,beauty,28,196,5,19253,25,24,27
PROD_000165,garden,47,720,2,15644,62,27,13
PROD_000166,health,66,206,4,26717,72,32,71
PROD_000167,office,26,621,4,15786,60,13,77
PROD_000168,food,33,518,2,14270,79,38,55
PROD_000169,electronics,25,846,6,13092,91,15,68
PROD_000170,computers,45,276,5,5307,33,32,65
PROD_000171,books,48,627,6,16971,11,41,34
PROD_000172,furniture,61,506,1,13049,51,15,33
PROD_000173,food,61,716,6,29328,78,43,10
PROD_000174,furniture,38,694,5,8024,50,41,78
PROD_000175,fashion,28,431,3,20497,71,35,69
PROD_000176,home_appliances,47,430,5,27492,73,29,47
PROD_000177,electronics,55,958,2,29988,81,28,78
PROD_000178,electronics,40,130,1,23384,47,12,66
PROD_000179,fashion,69,496,3,15921,80,42,34
PROD_000180,automotive,24,942,2,19440,55,30,54
PROD_000181,health,25,647,5,14563,20,46,24
PROD_000182,music,39,638,4,1390,17,46,56
PROD_000183,health,22,104,6,19874,33,21,44
PROD_000184,automotive,65,753,2,17232,67,40,72
PROD_000185,toys,60,574,1,20627,39,46,12
PROD_000186,health,29,703,2,690,25,11,29
PROD_000187,toys,60,113,1,21194,74,30,14
PROD_000188,furniture,37,275,5,24814,12,30,54
PROD_000189,home_appliances,31,265,2,27984,34,31,36
PROD_000190,music,27,749,5,613,59,15,15
PROD_000191,electronics,70,610,6,6508,12,13,43
PROD_000192,health,31,494,6,23384,64,13,43
PROD_000193,office,56,562,3,7938,70,45,46
PROD_000194,electronics,64,928,3,16314,98,10,45
PROD_000195,beauty,45,779,5,12141,62,48,73
PROD_000196,beauty,23,837,4,17884,73,18,56
PROD_000197,garden,39,359,3,7271,42,26,18
PROD_000198,beauty,44,771,4,29470,80,39,63
PROD_000199,toys,52,303,6,24595,44,37,35
PROD_000200,health,38,675,6,28154,39,47,55
PROD_000201,garden,55,539,6,5343,63,36,37
PROD_000202,books,45,949,3,17060,50,20,29
PROD_000203,electronics,62,930,4,15591,56,38,70
PROD_000204,electronics,52,723,3,8085,30,46,62
PROD_000205,health,59,674,2,21624,93,21,48
PROD_000206,sports,66,540,5,22726,53,39,14
PROD_000207,toys,21,881,6,26001,49,25,17
PROD_000208,toys,66,132,5,5830,78,22,61
PROD_000209,furniture,30,850,1,1775,68,17,45
PROD_000210,home_appliances,68,717,2,18684,15,49,69
PROD_000211,furniture,34,856,4,29820,28,42,50
PROD_000212,beauty,60,907,3,21954,90,48,10
PROD_000213,sports,55,129,1,13918,27,26,54
PROD_000214,fashion,42,139,6,4446,98,49,10
PROD_000215,beauty,41,123,6,6161,81,11,49
PROD_000216,sports,41,332,1,4663,69,43,43
PROD_000217,health,63,803,6,22531,39,19,72
PROD_000218,automotive,68,438,2,2677,22,12,28
PROD_000219,sports,62,461,5,1056,45,15,61
PROD_000220,toys,31,571,3,4982,80,32,58
PROD_000221,computers,31,925,6,11370,24,49,16
PROD_000222,food,43,607,2,17418,34,40,54
PROD_000223,toys,38,450,1,8604,90,32,15
PROD_000224,health,58,943,6,2748,84,19,51
PROD_000225,fashion,25,588,6,29652,48,27,55
PROD_000226,toys,68,800,2,22665,68,49,14
PROD_000227,computers,68,527,2,15628,33,39,23
PROD_000228,books,49,304,2,14592,42,29,22
PROD_000229,music,28,966,1,21982,50,35,57
PROD_000230,books,66,839,6,5565,64,21,22
PROD_000231,home_appliances,68,534,1,16932,42,38,25
PROD_000232,food,70,770,4,12953,30,5,17
PROD_000233,books,56,339,1,19875,65,20,12
PROD_000234,health,35,733,5,11110,19,32,73
PROD_000235,electronics,39,443,1,23439,52,44,79
PROD_000236,home_appliances,28,793,6,23810,63,33,39
PROD_000237,garden,26,277,2,9288,39,38,77
PROD_000238,electronics,39,614,3,27959,21,47,47
PROD_000239,garden,29,158,2,12201,87,20,61
PROD_000240,beauty,43,147,6,4843,80,16,40
PROD_000241,fashion,35,361,2,15546,56,28,66
PROD_000242,books,49,289,5,20076,18,12,52
PROD_000243,beauty,57,124,6,9446,90,21,34
PROD_000244,computers,25,633,6,6755,92,24,41
PROD_000245,books,59,481,2,26168,20,7,30
PROD_000246,garden,57,595,4,3989,96,46,23
PROD_000247,toys,21,517,2,22491,84,12,69
PROD_000248,automotive,28,499,3,26605,18,33,37
PROD_000249,music,30,621,1,27685,64,14,20
PROD_000250,office,23,848,5,16129,39,44,29
PROD_000251,home_appliances,26,707,5,8167,60,41,19
PROD_000252,health,40,553,2,22362,68,32,71
PROD_000253,fashion,69,127,3,4586,82,37,67
PROD_000254,furniture,20,552,6,9668,54,43,20
PROD_000255,toys,32,157,3,9083,50,8,11
PROD_000256,health,31,106,2,25531,92,29,76
PROD_000257,sports,55,606,5,20184,14,18,49
PROD_000258,garden,42,156,2,19578,50,37,61
PROD_000259,furniture,68,506,1,7890,93,8,44
PROD_000260,electronics,58,899,6,25943,36,22,62
PROD_000261,garden,64,570,6,11502,48,45,18
PROD_000262,food,65,840,2,7967,64,39,74
PROD_000263,fashion,22,177,2,27300,80,47,26
PROD_000264,furniture,31,173,1,28652,50,11,41
PROD_000265,sports,37,484,1,3394,79,24,30
PROD_000266,home_appliances,20,200,2,17644,94,40,31
PROD_000267,toys,70,341,2,1133,80,17,19
PROD_000268,computers,68,788,4,17236,25,45,62
PROD_000269,sports,46,961,1,7884,78,41,21
PROD_000270,garden,64,590,2,24291,58,43,11
PROD_000271,furniture,67,622,5,23248,49,46,72
PROD_000272,books,50,288,1,1500,12,27,26
PROD_000273,fashion,36,815,6,3367,16,35,11
PROD_000274,furniture,27,544,2,8914,81,28,13
PROD_000275,health,61,787,5,27557,87,25,23
PROD_000276,home_appliances,33,569,1,17437,57,10,24
PROD_000277,computers,69,698,1,20488,43,46,48
PROD_000278,toys,36,472,4,19941,70,14,60
PROD_000279,toys,41,498,1,19762,33,34,64
PROD_000280,furniture,25,341,4,14719,97,12,74
PROD_000281,food,46,868,2,27836,64,20,55
PROD_000282,books,26,237,6,13263,58,33,79
PROD_000283,sports,21,481,3,16301,36,34,22
PROD_000284,sports,54,966,5,15757,46,7,31
PROD_000285,office,28,322,6,21572,46,47,58
PROD_000286,fashion,39,404,4,29124,58,16,73
PROD_000287,books,33,844,2,127,47,48,24
PROD_000288,fashion,49,526,1,22519,48,16,23
PROD_000289,toys,31,402,5,7530,24,43,60
PROD_000290,food,67,531,2,29170,63,21,71
PROD_000291,electronics,36,497,3,12457,78,41,59
PROD_000292,automotive,52,594,1,7192,58,40,39
PROD_000293,electronics,21,384,5,7305,72,48,39
PROD_000294,books,66,332,6,27721,20,27,33
PROD_000295,office,29,898,6,19559,24,47,31
PROD_000296,furniture,23,492,3,19705,38,22,18
PROD_000297,electronics,36,151,4,24440,97,14,22
PROD_000298,fashion,54,562,2,4303,75,15,45
PROD_000299,furniture,27,631,2,769,21,39,24
PROD_000300,furniture,64,697,4,21464,16,35,52
PROD_000301,garden,48,638,5,23991,76,46,42
PROD_000302,music,56,588,3,19159,88,33,17
PROD_000303,toys,30,989,2,3588,72,12,24
PROD_000304,beauty,54,974,4,26004,52,31,55
PROD_000305,food,67,197,5,20409,78,47,23
PROD_000306,computers,20,543,1,16238,37,45,50
PROD_000307,books,35,196,4,6657,22,15,69
PROD_000308,toys,42,559,2,24507,63,11,63
PROD_000309,automotive,39,723,4,7240,72,40,74
PROD_000310,fashion,25,687,2,17321,98,50,16
PROD_000311,books,53,270,6,1651,24,18,11
PROD_000312,furniture,24,536,4,11505,34,48,31
PROD_000313,fashion,44,327,6,6472,63,12,40
PROD_000314,fashion,50,728,5,10894,44,42,14
PROD_000315,health,22,417,6,19828,17,20,70
PROD_000316,garden,30,715,3,24667,47,28,76
PROD_000317,health,41,615,2,11298,98,31,40
PROD_000318,garden,58,700,5,24954,25,14,71
PROD_000319,music,37,850,2,19883,90,14,28
PROD_000320,computers,40,895,3,3568,66,22,18
PROD_000321,music,58,817,6,6137,51,40,18
PROD_000322,garden,67,963,3,27365,73,31,32
PROD_000323,computers,26,938,6,6070,100,17,61
PROD_000324,health,22,224,6,17860,60,19,43
PROD_000325,toys,36,200,2,23802,81,21,50
PROD_000326,sports,26,421,4,7231,16,43,41
PROD_000327,electronics,69,920,4,19689,61,38,53
PROD_000328,health,59,147,6,19339,64,49,49
PROD_000329,toys,70,693,5,15331,27,45,45
PROD_000330,computers,66,132,5,24651,88,43,32
PROD_000331,office,26,571,4,20942,34,26,21
PROD_000332,books,45,620,1,2280,36,18,70
PROD_000333,sports,47,563,1,15770,98,13,25
PROD_000334,furniture,62,331,6,9725,11,50,33
PROD_000335,beauty,28,766,2,21279,31,22,22
PROD_000336,office,59,637,6,7621,17,31,41
PROD_000337,home_appliances,66,340,4,10345,49,5,22
PROD_000338,computers,54,202,6,26016,49,23,44
PROD_000339,home_appliances,38,879,5,28693,44,14,13
PROD_000340,home_appliances,64,386,2,26593,57,5,49
PROD_000341,furniture,46,459,6,29409,21,12,75
PROD_000342,books,62,166,3,13748,45,5,46
PROD_000343,fashion,39,606,3,6404,89,39,18
PROD_000344,computers,32,578,1,10583,49,45,27
PROD_000345,beauty,40,195,6,20856,89,8,75
PROD_000346,computers,31,494,1,21969,19,6,35
PROD_000347,toys,44,427,5,8854,33,41,32
PROD_000348,electronics,60,278,2,15837,58,50,58
PROD_000349,books,57,779,4,19759,32,15,54
PROD_000350,sports,34,650,4,3156,82,21,21
PROD_000351,music,24,740,5,25738,34,43,12
PROD_000352,music,59,912,2,25771,49,13,45
PROD_000353,garden,60,979,2,9735,10,29,64
PROD_000354,garden,31,624,6,6254,44,31,34
PROD_000355,sports,39,790,5,17755,87,19,40
PROD_000356,beauty,33,583,3,3459,77,29,65
PROD_000357,computers,59,360,6,1321,74,32,56
PROD_000358,health,38,279,3,8262,81,16,59
PROD_000359,automotive,28,667,3,11356,12,33,44
PROD_000360,sports,41,940,1,19027,54,15,76
PROD_000361,health,59,482,5,9012,71,45,11
PROD_000362,sports,56,537,5,28726,64,23,51
PROD_000363,sports,40,715,1,27608,70,30,52
PROD_000364,electronics,36,568,1,26398,80,38,35
PROD_000365,electronics,22,880,5,26254,85,26,45
PROD_000366,home_appliances,55,620,4,7055,45,23,61
PROD_000367,garden,44,628,4,14180,67,42,78
PROD_000368,automotive,57,364,4,637,62,49,23
PROD_000369,furniture,64,973,6,829,65,42,16
PROD_000370,fashion,36,736,4,29859,20,10,13
PROD_000371,health,33,917,5,8642,67,11,53
PROD_000372,books,50,949,3,13824,65,25,10
PROD_000373,garden,41,178,5,23954,74,32,12
PROD_000374,garden,26,493,4,21798,47,21,33
PROD_000375,sports,38,810,2,12156,88,45,65
PROD_000376,automotive,53,435,1,29032,45,25,12
PROD_000377,garden,41,900,4,13486,100,41,39
PROD_000378,furniture,41,418,1,4547,43,16,65
PROD_000379,fashion,50,951,6,17698,85,15,52
PROD_000380,health,48,227,3,1190,26,26,17
PROD_000381,music,63,979,2,17759,51,50,72
PROD_000382,books,67,276,4,28757,48,37,19
PROD_000383,garden,46,878,2,17050,92,23,41
PROD_000384,health,67,516,5,28548,16,47,59
PROD_000385,sports,40,624,3,7333,12,10,12
PROD_000386,health,25,970,2,14494,80,41,58
PROD_000387,automotive,41,186,5,21350,36,5,47
PROD_000388,garden,52,980,3,4930,100,36,68
PROD_000389,toys,53,485,4,1698,37,29,51
PROD_000390,books,29,152,2,24589,64,18,42
PROD_000391,beauty,63,388,2,20706,86,21,61
PROD_000392,food,69,712,4,24584,41,19,23
PROD_000393,food,24,790,2,6528,38,28,66
PROD_000394,garden,46,190,4,23498,16,33,38
PROD_000395,music,27,557,3,9273,55,34,69
PROD_000396,computers,47,277,6,13648,27,29,41
PROD_000397,books,48,651,3,22926,15,37,80
PROD_000398,computers,58,600,4,8782,73,28,44
PROD_000399,garden,38,765,2,9447,74,50,52
PROD_000400,home_appliances,57,462,2,14718,68,21,13
PROD_000401,health,70,345,4,12856,69,31,70
PROD_000402,beauty,21,371,2,838,71,31,69
PROD_000403,toys,25,415,5,14686,54,17,48
PROD_000404,fashion,24,424,4,25217,36,46,36
PROD_000405,electronics,59,702,1,25946,14,46,15
PROD_000406,automotive,37,856,1,26193,62,28,60
PROD_000407,toys,66,618,2,8035,47,21,53
PROD_000408,sports,53,919,3,21553,94,32,56
PROD_000409,sports,41,284,2,28441,96,13,62
PROD_000410,books,22,746,6,22090,11,7,43
PROD_000411,furniture,21,975,5,24245,20,9,17
PROD_000412,office,35,934,3,19266,95,28,63
PROD_000413,fashion,25,714,6,25180,86,37,61
PROD_000414,music,40,182,1,18044,23,48,50
PROD_000415,food,33,866,4,25906,45,30,64
PROD_000416,fashion,39,847,3,15513,67,32,21
PROD_000417,food,61,882,6,13481,75,36,10
PROD_000418,beauty,66,572,6,19221,62,30,59
PROD_000419,food,29,825,5,618,57,50,27
PROD_000420,toys,45,451,5,19307,57,6,77
PROD_000421,garden,59,169,3,23638,31,49,39
PROD_000422,office,34,103,6,6013,83,50,33
PROD_000423,furniture,47,392,1,10439,45,35,40
PROD_000424,automotive,54,532,2,5197,18,21,17
PROD_000425,toys,24,321,1,17530,59,29,14
PROD_000426,beauty,51,414,4,28530,41,18,80
PROD_000427,automotive,25,359,4,24126,74,26,31
PROD_000428,beauty,49,406,3,27219,26,5,34
PROD_000429,toys,58,368,3,3478,12,48,31
PROD_000430,computers,66,331,5,15856,92,19,55
PROD_000431,fashion,54,865,6,23027,62,31,49
PROD_000432,computers,51,590,3,3229,36,10,36
PROD_000433,computers,43,178,5,22195,34,5,28
PROD_000434,toys,52,482,2,8866,63,25,78
PROD_000435,music,25,457,2,20481,77,39,56
PROD_000436,garden,30,810,1,16122,80,43,51
PROD_000437,toys,59,926,5,1996,83,38,48
PROD_000438,office,63,912,1,5697,80,29,52
PROD_000439,toys,53,959,1,12446,68,27,32
PROD_000440,sports,54,310,1,19354,38,24,78
PROD_000441,health,56,193,5,29313,15,8,35
PROD_000442,food,24,938,3,28481,59,17,43
PROD_000443,home_appliances,65,721,2,10315,30,11,57
PROD_000444,automotive,49,862,2,25106,16,42,23
PROD_000445,home_appliances,24,627,3,5170,70,17,47
PROD_000446,fashion,25,402,6,13258,21,17,41
PROD_000447,fashion,41,756,3,11976,35,8,18
PROD_000448,toys,34,139,2,2029,49,23,11
PROD_000449,furniture,48,645,1,22110,22,8,62
PROD_000450,toys,59,662,3,21846,50,25,68
PROD_000451,books,67,959,6,14260,40,24,51
PROD_000452,computers,39,222,5,24413,33,43,22
PROD_000453,home_appliances,46,728,5,8845,53,14,17
PROD_000454,books,39,800,1,20354,23,6,63
PROD_000455,fashion,64,866,4,21094,58,49,21
PROD_000456,electronics,23,871,6,23912,77,45,26
PROD_000457,home_appliances,62,356,2,26316,25,30,78
PROD_000458,home_appliances,46,944,5,4226,29,48,20
PROD_000459,garden,51,464,6,13276,31,46,58
PROD_000460,music,59,682,4,4884,13,38,34
PROD_000461,garden,37,608,5,26302,100,10,10
PROD_000462,electronics,42,682,2,4659,94,45,55
PROD_000463,furniture,28,878,2,18163,90,34,16
PROD_000464,office,32,261,2,1099,15,46,69
PROD_000465,computers,37,672,3,20274,73,13,42
PROD_000466,health,32,669,4,4100,28,44,54
PROD_000467,fashion,38,442,2,29622,15,26,75
PROD_000468,computers,61,123,6,4930,90,38,61
PROD_000469,electronics,44,144,3,18201,13,16,33
PROD_000470,beauty,20,528,3,27860,48,35,43
PROD_000471,furniture,45,809,5,11276,15,50,12
PROD_000472,beauty,25,749,5,23977,84,37,52
PROD_000473,books,45,804,3,6792,14,11,59
PROD_000474,toys,60,961,3,14236,27,19,75
PROD_000475,food,51,643,5,16826,66,29,54
PROD_000476,books,64,728,5,27283,40,9,36
PROD_000477,books,62,153,4,21305,26,13,12
PROD_000478,computers,25,200,6,28547,34,40,58
PROD_000479,electronics,37,593,5,9179,95,33,20
PROD_000480,health,56,730,1,7122,75,6,36
PROD_000481,toys,27,878,6,24029,42,38,51
PROD_000482,office,35,673,2,23635,82,23,49
PROD_000483,fashion,57,828,1,8607,68,41,16
PROD_000484,toys,34,415,4,4299,81,20,55
PROD_000485,computers,25,853,4,15639,37,45,17
PROD_000486,music,56,439,6,7343,26,47,60
PROD_000487,furniture,20,927,5,8483,75,38,61
PROD_000488,music,60,641,6,25338,62,26,58
PROD_000489,office,62,252,5,29293,31,28,78
PROD_000490,garden,31,993,2,17320,31,50,78
PROD_000491,computers,20,878,1,17366,37,14,41
PROD_000492,toys,33,142,4,29534,75,37,53
PROD_000493,books,54,844,3,22431,64,36,62
PROD_000494,garden,51,614,1,20115,61,22,51
PROD_000495,health,55,324,4,8908,45,41,51
PROD_000496,music,56,586,3,4902,20,19,55
PROD_000497,garden,32,183,4,10663,54,48,52
PROD_000498,automotive,60,262,5,23038,89,36,45
PROD_000499,food,65,568,3,2950,97,9,47
PROD_000500,food,44,800,2,14142,66,25,25
PROD_000501,music,67,767,1,25983,88,44,73
PROD_000502,books,36,442,2,8889,88,31,55
PROD_000503,health,40,173,3,25614,92,32,49
PROD_000504,computers,27,726,4,14537,77,43,64
PROD_000505,sports,66,108,1,18637,36,27,74
PROD_000506,music,31,162,1,13076,34,7,20
PROD_000507,health,67,435,5,15677,93,45,29
PROD_000508,home_appliances,37,248,2,17281,45,39,37
PROD_000509,beauty,69,778,5,5585,71,29,62
PROD_000510,food,23,681,6,17136,42,32,16
PROD_000511,fashion,60,995,5,1200,45,5,36
PROD_000512,sports,39,666,1,2458,52,19,66
PROD_000513,office,35,483,5,13178,61,36,23
PROD_000514,computers,42,434,3,9031,63,6,54
PROD_000515,sports,57,257,4,1440,88,32,72
PROD_000516,music,37,865,4,20841,99,13,73
PROD_000517,home_appliances,23,744,3,24655,36,30,48
PROD_000518,automotive,56,164,1,19737,98,14,77
PROD_000519,music,42,518,4,24311,90,48,29
PROD_000520,health,52,473,6,1495,31,10,55
PROD_000521,toys,66,970,6,27573,94,18,41
PROD_000522,music,21,789,4,14976,53,25,80
PROD_000523,home_appliances,25,262,4,6076,63,21,37
PROD_000524,automotive,43,507,4,21115,75,22,46
PROD_000525,office,45,102,4,18488,88,6,71
PROD_000526,music,41,184,6,25700,82,49,22
PROD_000527,automotive,52,166,4,15935,57,28,18
PROD_000528,home_appliances,56,793,6,9187,48,11,49
PROD_000529,automotive,69,269,3,6850,96,11,64
PROD_000530,computers,37,734,5,5927,76,48,41
PROD_000531,food,69,759,3,21823,83,35,44
PROD_000532,furniture,48,544,3,12526,50,42,14
PROD_000533,furniture,21,470,3,10028,88,21,36
PROD_000534,garden,39,327,4,17697,70,47,73
PROD_000535,fashion,41,980,4,26337,82,16,28
PROD_000536,office,20,949,5,8804,88,8,72
PROD_000537,books,64,346,3,28448,24,27,36
PROD_000538,toys,57,574,4,4195,16,47,16
PROD_000539,fashion,27,441,6,8366,69,34,39
PROD_000540,health,38,729,3,7977,94,9,43
PROD_000541,office,54,595,2,5767,55,28,69
PROD_000542,food,41,510,3,3503,38,26,44
PROD_000543,garden,66,749,4,10225,22,30,78
PROD_000544,toys,61,483,4,7112,89,47,50
PROD_000545,home_appliances,35,981,2,17676,56,28,54
PROD_000546,food,21,954,6,24671,84,27,72
PROD_000547,office,58,408,4,11966,74,11,62
PROD_000548,books,22,259,5,25443,43,45,25
PROD_000549,health,32,520,2,7909,37,46,48
PROD_000550,furniture,20,407,1,15337,23,21,61
PROD_000551,health,57,555,6,23572,22,21,73
PROD_000552,garden,57,600,6,26621,98,20,47
